time_s,temperature,femap_node_id,x_mm,y_mm,z_mm,mapped_entity_name,target_x_mm,target_y_mm,target_z_mm
14404.8,35.4708,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14465.3,36.2038,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14525.8,36.9088,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14586.3,37.5843,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14646.9,38.2296,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14707.4,38.8453,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14767.9,39.4315,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14828.4,39.989,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14889.0,40.519,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
14949.5,41.0221,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
15010.0,41.4996,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
15070.5,41.9533,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
15131.0,42.3843,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
15191.6,42.7929,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
15252.1,43.1796,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
15312.6,43.5458,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
15373.1,43.893,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
15433.7,44.2221,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
15494.2,44.5336,28421,595.0,300.0,505.0,Rect[PANEL_PX]::7680,595.0,300.0,505.0
